DealerCommunityActivated	Account_Number	HDID	Date	Name	ADD1	ADD2	City	State	Zip	Country	Phone	Lead_SMS_Phone	Request_A_Consultation	Lead_SMS_Notification	ShopAtHome	Rank	Email	Lead_Email	Website	HD_Website	HD_Website2	GalleryImage	Criteria_1	Criteria_2	Criteria_3	Criteria_4	Hours	Hours_Fr	By_Appointment_Only
true	10058741|1000|01|00	3575075	11/21/2019	Lynda Myers Designs Inc	200 Buell Rd	Ste 21D	Rochester	NY	14624-3135	US	(585) 441-9639	(607) 316-6649	true	true	B	B	info@lyndamyers.com	info@lyndamyers.com, lynda@lyndamyers.com		www.lyndamyersdesigns.com	www.lyndamyersdesigns.com					Centurion	M: By Appointment Only, T-F: 10:00 am - 5:00 pm, Sat: 10:00 am - 2:00 pm, Sun: Closed, 	LUN: Sur rendez-vous uniquement, MAR-VEN: 10H00 - 17H00, SAM: 10H00 - 14H00, DIM: Fermé, 	false
false	10032915|1010|01|00		11/21/2019	One Time Buyer - Carmen Brimo	16 Trillium Trail		Coldwater	ON	L0K 1E0	CA	(705) 896-2135		false			B										Centurion	Please call for store hours.<br/>(705) 896-2135	Appelez pour les heures de magasin.<br/>(705) 896-2135	false
true	10058985|1000|01|00	241720	11/21/2019	Discount Window Coverings	11647 Henness Rd		Truckee	CA	96161-2903	US	(530) 587-5577		true	false	H	B	franki@discountwc.com	info@discountwc.com, franki@discountwc.com		www.discountwindowcoverings.org	www.discountwindowcoverings.org					Centurion	M-F: 10:00 am - 5:00 pm, Sat: Closed, Sun: Closed, 	LUN-VEN: 10H00 - 17H00, SAM: Fermé, DIM: Fermé, 	false
true	10057887|1000|01|00	240973	11/21/2019	The Complete Window	544 Merrick Rd		Baldwin	NY	11510-3439	US	(516) 868-0806		false	false	B	A	scott.breger@gmail.com	scott.breger@gmail.com, andreabreg@hotmail.com									Please call for store hours.<br/>(516) 868-0806	Appelez pour les heures de magasin.<br/>(516) 868-0806	false
true	10032759|1000|01|00	3152388	11/21/2019	Best Vue Blinds	141 E Cascade Ave	Ste 202	Sisters	OR	97759-1578	US	(541) 549-0968		false	false	B	A	kelly.king@lakeviewmillworks.com	jillian@bestvueblinds.com, shelly@lakeviewmillworks.com									Please call for store hours.<br/>(541) 549-0968	Appelez pour les heures de magasin.<br/>(541) 549-0968	false
true	10033385|1000|01|00	3459932	11/21/2019	D & B Design Elements Llc	19 Oakley Downs Pl		Spring	TX	77382-2549	US	(832) 692-1206		false	false	H	A	rrdye@aol.com	andreabyrd@yahoo.com								Centurion	Please call for appointment.<br/>(832) 692-1206	Veuillez appeler pour une consultation.<br/>(832) 692-1206	false
true	10032200|1000|01|00	3258392	11/21/2019	Blind Ambition	3200 Impala Ln		Bismarck	ND	58503-0150	US	(701) 770-1378		false	false	H	A	jere@blindambition1.com	jere@blindambition1.com									Please call for appointment.<br/>(701) 770-1378	Veuillez appeler pour une consultation.<br/>(701) 770-1378	false
true	10036262|1000|01|00	3157380	11/21/2019	Art Van Furniture Llc	1619 Anderson Rd		Petoskey	MI	49770-9256	US	(231) 348-1299		false	false	B	A	nhogan@scottshuptrine.com	nhogan@scottshuptrine.com								Centurion	Please call for store hours.<br/>(231) 348-1299	Appelez pour les heures de magasin.<br/>(231) 348-1299	false
true	10032526|1000|01|00	3378337	11/21/2019	Barco Paint & Supplies	31619 23 Mile Rd		Chesterfield	MI	48047-4619	US	(586) 949-8888		false	false	B	A	brian@barcopaint.com	brian@barcopaint.com		www.barcoblinds.com	www.barcoblinds.com						M-F: 7:30 am - 5:30 pm, Sat: 8:00 am - 3:00 pm, Sun: Closed, 	LUN-VEN: 07H30 - 17H30, SAM: 08H00 - 15H00, DIM: Fermé, 	false
true	10032970|1000|01|00	3386195	11/21/2019	Elite Shutters And Shadings Inc	8940 Elk Grove Blvd		Elk Grove	CA	95624-1947	US	(916) 880-5768	(209) 456-1476	true	true	B	C	mike@eliteshadings.com	chris@eliteshadings.com, elizabeth@eliteshadings.com, jolene@eliteshadings.com		www.eliteshadings.com	www.eliteshadings.com					Centurion	M-F: 9:00 am - 5:00 pm, Sat: 9:00 am - 1:00 pm, Sun: Closed, 	LUN-VEN: 09H00 - 17H00, SAM: 09H00 - 13H00, DIM: Fermé, 	false
true	10057703|1000|01|00	242745	11/21/2019	Mac Fabrics And Design Center	535 24th St		West Palm Beach	FL	33407-5403	US	(561) 833-7000		false	false	B	A	claudia@macfabrics.com	claudia@macfabrics.com, sandy@macfabrics.com		www.macfabricsshades.com	www.macfabricsshades.com						M-F: 10:00 am - 5:00 pm, Sat: 10:00 am - 3:00 pm, Sun: Closed, 	LUN-VEN: 10H00 - 17H00, SAM: 10H00 - 15H00, DIM: Fermé, 	false
true	10051180|1010|01|00		11/21/2019	United Floors	1481 16TH AVE		CAMPBELL RIVER	BC	V9W 4J3	CA	(250) 287-7456		false	false	S	B	curiouspeg@gmail.com	jennaunitedfloors@shaw.ca, design@avenueforthehome.ca, curiouspeg@gmail.com									Please call for store hours.<br/>(250) 287-7456	Appelez pour les heures de magasin.<br/>(250) 287-7456	false
true	10036261|1000|01|00	3556992	11/21/2019	R. Grace Interiors	17883 E Loyola Ave		Aurora	CO	80013-3453	US	(720) 240-7290		false	false	H	A	rachelgrace@rginteriordesign.com	rachelgrace@rginteriordesign.com											false
true	10036559|1000|01|00	3554623	11/21/2019	Egret Associates Inc	499 Peacock Ln N		Jupiter	FL	33458-8332	US	(561) 745-6186		false	false	H	A	dawn@egretelectronics.com	dawn@egretelectronics.com, dawn@egretelectronics.com											false
true	10033012|1010|01|00		11/21/2019	Tops To Floors Inc	26152 Rte 2		Summerside	PE	C1N 4J8	CA	(902) 436-6070		false	false	B	A	lisa@topstofloors.com	lisa@topstofloors.com								Centurion	Please call for store hours.<br/>(902) 436-6070	Appelez pour les heures de magasin.<br/>(902) 436-6070	false
true	10033003|1000|01|00	3390546	11/21/2019	Luxe Line Interiors	23121 Antonio Pkwy	Ste 115	Rancho Santa Margarita	CA	92688-2659	US	(949) 407-9114		false	false	H	A	christina@luxelineinteriors.com	christina@luxelineinteriors.com, elijah@luxelineinteriors.com									Please call for appointment.<br/>(949) 407-9114	Veuillez appeler pour une consultation.<br/>(949) 407-9114	false
true	10032642|1010|01|00		11/21/2019	Cuneo Interiors Ltd.	367-207 DURHAM ST E		WALKERTON	ON	N0G 2V0	CA	(519) 364-1303		false	false	B	A	steve@cuneointeriors.com	steve@cuneointeriors.com		http://cuneointeriors.hunterdouglas.ca	cuneointeriors.hunterdouglas.ca						Please call for store hours.<br/>(519) 364-1303	Appelez pour les heures de magasin.<br/>(519) 364-1303	false
false	10045492|1010|01|00		11/21/2019	Decorview	349 McLeod St	Apt 824	Ottawa	ON	K2P 0S1	CA	(877) 373-4700		false		H	A	customerservice@customdecorators.com									Centurion	Please call for appointment.<br/>(877) 373-4700	Veuillez appeler pour une consultation.<br/>(877) 373-4700	false
true	10033019|1000|01|00	3392251	11/21/2019	Jilco Window Corp	135 Mahopac Ave		Granite Springs	NY	10527-1127	US	(914) 248-6100	914 522 5856	true	true	B	A	mmcdonough@jilcowindow.com	bgesson@jilcowindow.com, mthomson@jilcowindow.com, mmcdonough@jilcowindow.com, bgesson@jilcowindow.com, mmcdonough@jilcowindow.com, mpolvere@jilcowindow.com		www.jilcowindowtreatments.com	www.jilcowindowtreatments.com					Centurion	M: 8:00 am - 5:00 pm, T-W: 8:00 am - 6:00 pm, Th: 8:00 am - 8:00 pm, F: 8:00 am - 6:00 pm, Sat: 10:00 am - 2:00 pm, Sun: Closed, 	LUN: 08H00 - 17H00, MAR-MER: 08H00 - 18H00, JEU: 08H00 - 20H00, VEN: 08H00 - 18H00, SAM: 10H00 - 14H00, DIM: Fermé, 	false
true	10033022|1000|01|00	3394171	11/21/2019	Sonoma Floor Gallery	551 5th St W		Sonoma	CA	95476-6831	US	(707) 939-1940		false	false	B	B	lisa@sonomafloors.com	lisa.raffo@comcast.net		www.sonomafloorgalleryblinds.com	www.sonomafloorgalleryblinds.com					Centurion	M-F: 9:30 am - 5:00 pm, Sat: 10:00 am - 3:00 pm, Sun: Closed, 	LUN-VEN: 09H30 - 17H00, SAM: 10H00 - 15H00, DIM: Fermé, 	false
true	10005968|1000|01|00	3381207	11/21/2019	Cover Your World Flooring Inc	817 Main St		Honesdale	PA	18431-1846	US	(570) 251-2538	(570) 616-5548	true	true	S	A	coveryourworldflooring@gmail.com	coveryourworldflooring@gmail.com		www.coveryourworldflooring.net	www.coveryourworldflooring.net					Centurion	M: Closed, T-F: 10:00 am - 5:00 pm, Sat: 10:00 am - 3:00 pm, Sun: Closed, 	LUN: Fermé, MAR-VEN: 10H00 - 17H00, SAM: 10H00 - 15H00, DIM: Fermé, 	false
true	10033136|1000|01|00	249907	11/21/2019	Babel's Paint & Decorating	23 Cottage St E		Norwood	MA	02062-3533	US	(781) 762-3128		true	false	B	C	lobrien@babels.com	smunro@national-lumber.com, kanastas@babels.com		www.babelswindowtreatments.com	www.babelswindowtreatments.com						M-F: 6:30 am - 6:00 pm, Sat: 8:00 am - 5:00 pm, Sun: 11:00 am - 4:00 pm, 	LUN-VEN: 06H30 - 18H00, SAM: 08H00 - 17H00, DIM: 11H00 - 16H00, 	false
true	10053852|1000|01|00	3442612	11/21/2019	Gotcha Covered	2545 N Willamette Blvd		Portland	OR	97217-4115	US	(971) 925-1519		false	false	H	A	juliannesixel@gotchacovered.com	juliannesixel@gotchacovered.com									M-F: 9:00 am - 5:00 pm, Sat: By Appointment Only, Sun: By Appointment Only, 	LUN-VEN: 09H00 - 17H00, SAM: Sur rendez-vous uniquement, DIM: Sur rendez-vous uniquement, 	false
true	10033130|1000|01|00	2338388	11/21/2019	Timeless Interiors	9720 S Virginia St	Ste B	Reno	NV	89511-4805	US	(775) 432-2500		false	false	S	B	stacey@timelessinteriorsnv.com	stacey@timelessinteriorsnv.com		www.timelessinteriorsnv.com	www.timelessinteriorsnv.com						M-F: 8:00 am - 5:00 pm, Sat: Closed, Sun: Closed, 	LUN-VEN: 08H00 - 17H00, SAM: Fermé, DIM: Fermé, 	false
true	10033140|1000|01|00	249875	11/21/2019	Babel's Paint & Decorating	102 Washington St		Canton	MA	02021-4000	US	(781) 575-0205		false	false	B	B	lobrien@babels.com	smunro@national-lumber.com, kanastas@babels.com		www.babelswindowtreatments.com	www.babelswindowtreatments.com						M-F: 6:30 am - 6:00 pm, Sat: 8:00 am - 5:00 pm, Sun: Closed, 	LUN-VEN: 06H30 - 18H00, SAM: 08H00 - 17H00, DIM: Fermé, 	false
true	10036054|1000|01|00	514574	11/21/2019	McLeland's Window Coverings LLC	11060 W Bear Creek Dr		Denver	CO	80227-4204	US	(303) 918-0714		false	false	H	A	mclelandjd1@gmail.com	mclelandjd1@gmail.com		www.mclelandswindowcoverings.com	www.mclelandswindowcoverings.com						M-F: 9:00 am - 5:00 pm, Sat: Closed, Sun: Closed, 	LUN-VEN: 09H00 - 17H00, SAM: Fermé, DIM: Fermé, 	false
true	10034730|1000|01|00	3484171	11/21/2019	Rebarts Interiors Llc	253 State St		Los Altos	CA	94022-2814	US	(650) 288-4377		true	false	B	C	norma.rebarts@gmail.com	sam.rebarts@gmail.com, rebarts@gmail.com, norma.rebarts@gmail.com, bsd4.rebarts@gmail.com, vsanchez.rebarts@gmail.com, bsd4.rebarts@gmail.com		www.rebarts.com	www.rebarts.com					Centurion	M: Closed, T-F: 11:00 am - 5:00 pm, Sat: 11:00 am - 4:00 pm, Sun: Closed, 	LUN: Fermé, MAR-VEN: 11H00 - 17H00, SAM: 11H00 - 16H00, DIM: Fermé, 	false
true	10048139|1010|01|00		11/21/2019	House Of Excellence	541C Rothesay Ave		Saint John	NB	E2J 2C6	CA	(506) 634-7610		false	false	B	A	ajeffery@houseofexcellence.ca	bernie@houseofexcellence.ca, bregenbogen@houseofexcellence.ca, sweaver@houseofexcellence.ca								Centurion	Please call for store hours.<br/>(506) 634-7610	Appelez pour les heures de magasin.<br/>(506) 634-7610	false
true	10033202|1000|01|00	2288599	11/21/2019	Variety Blinds and Shutters	12408 Altamira St		Austin	TX	78748-4038	US	(512) 558-1196		false	false	H	A	tim@varietyblinds.com	tim@varietyblinds.com									Please call for appointment.<br/>(512) 558-1196	Veuillez appeler pour une consultation.<br/>(512) 558-1196	false
true	10033189|1000|01|00	3485334	11/21/2019	The Louver Shop	4181 S Fraser Ct	Apt F	Aurora	CO	80014-6150	US	(720) 930-4871		false	false	H	A	mmartin@louvershop.net	pthompson@louvershop.net, mmartin@louvershop.net									Please call for appointment.<br/>(720) 930-4871	Veuillez appeler pour une consultation.<br/>(720) 930-4871	false
false	10035322|1010|01|00		11/21/2019	One Time Buyer - Sean Orsborn	424 Kelso Dr		Waterloo	ON	N2V 2S1	CA	(226) 220-2593		false			B										Centurion	Please call for store hours.<br/>(226) 220-2593	Appelez pour les heures de magasin.<br/>(226) 220-2593	false
true	10035317|1000|01|00	514968	11/21/2019	Main Street Carpet and Blinds	290 W Main St		Sayville	NY	11782-2526	US	(631) 563-3131		true	false	B	B	mainstreetcarpet@gmail.com	mainstreetcarpet@gmail.com		www.mainstreetcarpet.com	www.mainstreetcarpet.com					Centurion	M-F: 10:00 am - 6:00 pm, Sat: 10:00 am - 5:00 pm, Sun: Closed, 	LUN-VEN: 10H00 - 18H00, SAM: 10H00 - 17H00, DIM: Fermé, 	false
true	10035736|1000|01|00	3519324	11/21/2019	Jackson Shade Co Llc	1599 S Oriole Way		Boise	ID	83709-1326	US	(208) 880-6524		false	false	H	A	travis.jackson@jscollc.com	travis.jackson@jscollc.com									Please call for appointment.<br/>(208) 880-6524	Veuillez appeler pour une consultation.<br/>(208) 880-6524	false
true	10035318|1000|01|00	3521025	11/21/2019	Martin's Flooring Inc	350 N Park Rd		Reading	PA	19610-2916	US	(610) 376-7799		false	false	B	A	dorisl@martinsflooring.com	cindyb@martinsflooring.com, bamartin1228@yahoo.com, tonyc@martinsflooring.com									Please call for store hours.<br/>(610) 376-7799	Appelez pour les heures de magasin.<br/>(610) 376-7799	false
true	10035316|1000|01|00	3523576	11/21/2019	Galiant Interiors, LLC	6265 Lehman Dr	Ste 160	Colorado Springs	CO	80918-1490	US	(719) 323-0709		false	false	S	A	kate@galiantinteriors.com	kate@galiantinteriors.com									Please call for store hours.<br/>(719) 332-4867	Appelez pour les heures de magasin.<br/>(719) 332-4867	true
